20
10
10
2 -10 -8 -3 10 5 -2 -8 -6 -10 
27 92 64 116 -30 -182 -82 -33 -86 191 
-4 4 1 8 -7 -1 7 -8 1 -5 
112 51 163 -59 113 159 -151 126 -90 95 
0 0 6 6 0 0 0 12 4 0 
17 0 9 16 0 13 0 0 3 13 
0 0 0 0 3 0 0 0 0 15 
2 0 0 0 19 0 8 0 10 0 
0 0 0 9 0 0 13 8 0 0 
4 0 0 0 0 0 0 0 0 0 
0 1 0 0 0 2 0 14 20 0 
16 0 3 0 0 7 0 0 19 0 
7 0 0 18 0 9 0 0 0 0 
0 0 7 0 0 0 9 0 0 19 
7 9 5 14 12 0 10 0 0 18 
0 6 14 14 0 0 -1 18 3 0 
19 0 4 0 0 0 17 0 12 -1 
10 0 0 0 0 16 0 15 6 20 
0 0 16 8 5 14 0 8 0 0 
0 0 0 3 0 0 17 0 0 11 
0 0 -1 0 0 0 0 14 0 0 
0 2 0 0 0 0 0 0 14 0 
0 0 12 9 19 13 0 10 13 13 
0 0 0 0 0 0 0 0 0 0 
15 0 0 0 0 0 0 0 0 0 
0 5 0 0 0 0 0 0 0 0 
0 0 10 0 0 0 0 0 0 0 
0 0 0 8 0 0 0 0 0 0 
0 0 0 0 13 0 0 0 0 0 
0 0 0 0 0 18 0 0 0 0 
0 0 0 0 0 0 6 0 0 0 
0 0 0 0 0 0 0 7 0 0 
0 0 0 0 0 0 0 0 13 0 
0 0 0 0 0 0 0 0 0 13 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
1 1 1 1 1 1 1 1 1 1 
75 93 95 69 96 83 78 88 53 78 73 100 99 55 51 95 86 96 73 3 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
